epoch,train_mse,train_accuracy,val_mse,val_accuracy,test_mse,test_accuracy
1,0.23350554704666138,0.5947965383529663,0.19730597734451294,0.7298387289047241,,
2,0.20764562487602234,0.6875,0.19630344212055206,0.7096773982048035,,
3,0.18496040999889374,0.7163755893707275,0.14450913667678833,0.7943548560142517,,
4,0.1581946611404419,0.75,0.14094017446041107,0.8266128897666931,,
5,0.15798841416835785,0.7673298716545105,0.14345663785934448,0.7782257795333862,,
6,0.11375048011541367,0.8125,0.14283478260040283,0.774193525314331,,
7,0.14187543094158173,0.7938422560691833,0.12954343855381012,0.8145161271095276,,
8,0.16348157823085785,0.75,0.1342257261276245,0.7983871102333069,,
9,0.1310013085603714,0.8117572665214539,0.1169755682349205,0.8467742204666138,,
10,0.13932865858078003,0.84375,0.11378168314695358,0.8467742204666138,,
11,0.12117944657802582,0.8271515965461731,0.11856106668710709,0.8346773982048035,,
12,0.116127148270607,0.875,0.11847483366727829,0.8387096524238586,,
13,0.11416551470756531,0.8398001194000244,0.1006169319152832,0.8669354915618896,,
14,0.08725112676620483,0.90625,0.10819922387599945,0.850806474685669,,
15,0.1060117706656456,0.8531239032745361,0.12983913719654083,0.8225806355476379,,
16,0.11555436253547668,0.875,0.13101686537265778,0.8185483813285828,,
test,,,,,0.10095331072807312,0.8601118922233582
