epoch,train_mse,train_accuracy,val_mse,val_accuracy,test_mse,test_accuracy
1,0.22484512627124786,0.6205887794494629,0.19220927357673645,0.7137096524238586,,
2,0.20856240391731262,0.6875,0.19103103876113892,0.7137096524238586,,
3,0.18439169228076935,0.7180860638618469,0.16019682586193085,0.7580645084381104,,
4,0.12034933269023895,0.9375,0.1588216871023178,0.7903226017951965,,
5,0.1660328358411789,0.7507652044296265,0.15272359549999237,0.7903226017951965,,
6,0.14461365342140198,0.75,0.1580989509820938,0.7620967626571655,,
7,0.1494712084531784,0.782139003276825,0.14581800997257233,0.7943548560142517,,
8,0.14963269233703613,0.78125,0.14067131280899048,0.8064516186714172,,
9,0.13947419822216034,0.7997839450836182,0.1482018083333969,0.7862903475761414,,
10,0.17716985940933228,0.6875,0.1472664326429367,0.7822580933570862,,
11,0.13032536208629608,0.812747597694397,0.15430167317390442,0.7661290168762207,,
test,,,,,0.14318345487117767,0.7941646575927734
