epoch,train_mse,train_accuracy,val_mse,val_accuracy,test_mse,test_accuracy
1,0.23231475055217743,0.5963269472122192,0.18875084817409515,0.7096773982048035,,
2,0.22612279653549194,0.59375,0.18712596595287323,0.7177419066429138,,
3,0.18447622656822205,0.7198865413665771,0.14851067960262299,0.7903226017951965,,
4,0.1899424046278,0.75,0.1436399221420288,0.8104838728904724,,
5,0.1545019894838333,0.7746669054031372,0.12738095223903656,0.8104838728904724,,
6,0.19236072897911072,0.6875,0.12573419511318207,0.8346773982048035,,
7,0.14046934247016907,0.7981634736061096,0.12458278983831406,0.8387096524238586,,
8,0.09969538450241089,0.90625,0.12567386031150818,0.8387096524238586,,
9,0.12752871215343475,0.8185091614723206,0.09290064871311188,0.8830645084381104,,
10,0.1362667679786682,0.84375,0.09342572838068008,0.875,,
11,0.11764651536941528,0.8344436287879944,0.14043045043945312,0.8064516186714172,,
12,0.057312171906232834,0.9375,0.14323002099990845,0.8024193644523621,,
test,,,,,0.11147432029247284,0.8389288783073425
