epoch,train_mse,train_accuracy,val_mse,val_accuracy,test_mse,test_accuracy
1,0.22648680210113525,0.6164476275444031,0.18012376129627228,0.7620967626571655,,
2,0.22027820348739624,0.65625,0.181396946310997,0.7419354915618896,,
3,0.18564900755882263,0.7182661294937134,0.1520276814699173,0.7983871102333069,,
4,0.18007691204547882,0.71875,0.15269605815410614,0.8064516186714172,,
5,0.15781603753566742,0.7684551477432251,0.13064315915107727,0.7983871102333069,,
6,0.1744530200958252,0.71875,0.12738260626792908,0.8346773982048035,,
7,0.14153404533863068,0.7971282005310059,0.13146167993545532,0.8145161271095276,,
8,0.09866772592067719,0.84375,0.13415183126926422,0.8145161271095276,,
9,0.13229908049106598,0.8102268576622009,0.12511731684207916,0.8064516186714172,,
10,0.09003939479589462,0.84375,0.12824629247188568,0.7983871102333069,,
11,0.12115322798490524,0.826791524887085,0.1583367884159088,0.7943548560142517,,
12,0.17559681832790375,0.8125,0.15649646520614624,0.7903226017951965,,
test,,,,,0.11227323114871979,0.8445243835449219
