epoch,train_mse,train_accuracy,val_mse,val_accuracy,test_mse,test_accuracy
1,0.22421765327453613,0.6204987168312073,0.18649378418922424,0.7177419066429138,,
2,0.21804681420326233,0.65625,0.18896272778511047,0.6935483813285828,,
3,0.18213112652301788,0.726683497428894,0.130767822265625,0.8266128897666931,,
4,0.13168764114379883,0.84375,0.13047665357589722,0.8185483813285828,,
5,0.1592472493648529,0.7676899433135986,0.1345498114824295,0.8225806355476379,,
6,0.12415274977684021,0.8125,0.1286507546901703,0.8266128897666931,,
7,0.1448008269071579,0.7877655625343323,0.12510468065738678,0.8346773982048035,,
8,0.08125252276659012,0.9375,0.11992449313402176,0.8306451439857483,,
9,0.1309991329908371,0.8150882124900818,0.12401026487350464,0.8104838728904724,,
10,0.07365944236516953,0.90625,0.11834539473056793,0.8104838728904724,,
11,0.12037130445241928,0.8264763951301575,0.12951727211475372,0.8145161271095276,,
12,0.0682360827922821,0.96875,0.13338473439216614,0.8064516186714172,,
13,0.11132853478193283,0.8419607281684875,0.11421871930360794,0.8629032373428345,,
test,,,,,0.1162974014878273,0.8293365240097046
