epoch,train_mse,train_accuracy,val_mse,val_accuracy,test_mse,test_accuracy
1,0.22791752219200134,0.609155535697937,0.18972258269786835,0.7419354915618896,,
2,0.18248136341571808,0.75,0.19057604670524597,0.7540322542190552,,
3,0.1843520849943161,0.7228124141693115,0.13926753401756287,0.8266128897666931,,
4,0.1354820728302002,0.875,0.14519894123077393,0.8024193644523621,,
5,0.16132473945617676,0.7615232467651367,0.1300913244485855,0.8185483813285828,,
6,0.1213386058807373,0.84375,0.13136491179466248,0.8185483813285828,,
7,0.1457546055316925,0.7888458967208862,0.11641226708889008,0.8427419066429138,,
8,0.17008009552955627,0.75,0.1159205436706543,0.8427419066429138,,
9,0.13384318351745605,0.807976245880127,0.11714275181293488,0.8185483813285828,,
10,0.18019059300422668,0.78125,0.1224936693906784,0.8306451439857483,,
11,0.12462078779935837,0.8214800357818604,0.1244991198182106,0.8024193644523621,,
test,,,,,0.12343226373195648,0.8265387415885925
